,OBJECTID,BYGNING_ID,FYLKES_NR,FYLKES_NAVN,KOMMUNE_NR,KOMMUNE_NAVN,BYGNINGS_NR,BYGNING_LNR,BYGNINGSTYPE_NR,BYGNINGSTYPE_NAVN,BYGNINGSSTATUS_NR,BYGNINGSSTATUS_NAVN,GODKJENT_DATO,IGANGSATT_DATO,TATT_I_BRUK_DATO,TATT_I_BRUK,NAERINGSGRUPPE_KODE,NAERINGSGRUPPE_NAVN,PAABYGG_TILBYGG_KODE,PAABYGG_TILBYGG_NAVN,REGISTRERT_IGANGSATT_DATO,REGISTRERT_GODKJENT_DATO,VANNFORSYNING_NR,VANNFORSYNING_NAVN,BRUKSAREAL_TOTALT,BRUKSAREAL_BOLIG,BRUKSAREAL_ANNET_BOLIG,ANTALL_ETASJER,ANTALL_BOLIGER,LKOORDINAT_TYPE,LKOORDINATSYSTEM_NR,LKOORDINATSYSTEM_NAVN,LKOORDINAT_KVALITET_KODE,LKOORDINAT_KVALITET_NAVN,LX_KOORDINAT,LY_KOORDINAT,LZ_KOORDINAT,UKOORDINAT_TYPE,UKOORDINATSYSTEM_NR,UKOORDINATSYSTEM_NAVN,UKOORDINAT_KVALITET_KODE,UKOORDINAT_KVALITET_NAVN,UX_KOORDINAT,UY_KOORDINAT,UZ_KOORDINAT,EIENDOM_ANTALL,HAR_HEIS,BEBYGD_AREAL,Energistandard_profet,Byggtype_profet,Energiomraadeid,Energibronn,tatt_i_bruk_sammenstilt,Byggutvalgsident,Planforslag,SHAPE,oppgraderes,grunnvarme,solceller,luft_luft_varmepumpe,fjernvarme,grunnvarme_meter,grunnvarme_kostnad,_nettutveksling_energi,_nettutveksling_vintereffekt,_nettutveksling_sommereffekt,_termisk_energibehov_sum,_levert_fra_kilde_sum,_fjernvarmeproduksjon_sum,_elspesifikt_energibehov_sum,_kompressor_sum,_spisslast_sum,_solcelleproduksjon_sum,_termisk_energibehov_vintereffekt,_levert_fra_kilde_vintereffekt,_fjernvarmeproduksjon_vintereffekt,_elspesifikt_energibehov_vintereffekt,_kompressor_vintereffekt,_spisslast_vintereffekt,_solcelleproduksjon_vintereffekt,_termisk_energibehov_sommereffekt,_levert_fra_kilde_sommereffekt,_fjernvarmeproduksjon_sommereffekt,_elspesifikt_energibehov_sommereffekt,_kompressor_sommereffekt,_spisslast_sommereffekt,_solcelleproduksjon_sommereffekt,scenario_navn,_utetemperatur,_termisk_energibehov,_elspesifikt_energibehov,_kompressor,_levert_fra_kilde,_spisslast,_fjernvarmeproduksjon,_solcelleproduksjon,_nettutveksling_energi_liste
0,1,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,Y,A,A,,,P3,1,"{'x': 571913.2309999997, 'y': 7036682.999899998, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",True,False,False,False,False,0,0,0.013,0.003,0.001,0.0090358529,0.0,0.0,0.0040077227,0.0,0.0,0.0,0.0029537585,0,0,0.000408375,0,0,0,0.0002376108,0,0,0.0004668583,0,0,0,Referansesituasjon,[0],[1.36781467 1.27725032 1.22944334 ... 1.73110561 1.55804493 1.47820261],[0.41644167 0.32417917 0.29140833 ... 0.7154125  0.63777083 0.50618333],0,0,0,0,0,[1.78425634 1.60142949 1.52085167 ... 2.44651811 2.19581576 1.98438594]
1,2,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,Y,A,A,,,P3,1,"{'x': 571915.5981999999, 'y': 7036687.643100001, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",True,False,False,False,False,0,0,0.013,0.003,0.001,0.0090358529,0.0,0.0,0.0040077227,0.0,0.0,0.0,0.0029537585,0,0,0.000408375,0,0,0,0.0002376108,0,0,0.0004668583,0,0,0,Referansesituasjon,[0],[1.36781467 1.27725032 1.22944334 ... 1.73110561 1.55804493 1.47820261],[0.41644167 0.32417917 0.29140833 ... 0.7154125  0.63777083 0.50618333],0,0,0,0,0,[1.78425634 1.60142949 1.52085167 ... 2.44651811 2.19581576 1.98438594]
2,3,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,Y,A,A,,,P3,1,"{'x': 571918.5040999996, 'y': 7036691.767299999, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",True,False,False,False,False,0,0,0.013,0.003,0.001,0.0090358529,0.0,0.0,0.0040077227,0.0,0.0,0.0,0.0029537585,0,0,0.000408375,0,0,0,0.0002376108,0,0,0.0004668583,0,0,0,Referansesituasjon,[0],[1.36781467 1.27725032 1.22944334 ... 1.73110561 1.55804493 1.47820261],[0.41644167 0.32417917 0.29140833 ... 0.7154125  0.63777083 0.50618333],0,0,0,0,0,[1.78425634 1.60142949 1.52085167 ... 2.44651811 2.19581576 1.98438594]
3,4,,,,,,,,,,,,,,,,,,,,,,,,730.0,730.0,730.0,,,,,,,,,,,,,,,,,,,,,,Y,A,A,,,P3,1,"{'x': 572029.8233000003, 'y': 7036736.3455, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",True,False,False,False,False,0,0,0.0952,0.025,0.005,0.0659617263,0.0,0.0,0.0292563755,0.0,0.0,0.0,0.0215624372,0,0,0.0029811375,0,0,0,0.0017345587,0,0,0.0034080658,0,0,0,Referansesituasjon,[0],"[ 9.98504709  9.32392734  8.97493638 ... 12.63707095 11.37372799
 10.79087905]",[3.04002419 2.36650794 2.12728081 ... 5.22251125 4.65572706 3.69513831],0,0,0,0,0,"[13.02507128 11.69043528 11.10221719 ... 17.8595822  16.02945505
 14.48601736]"
4,5,,,,,,,,,,,,,,,,,,,,,,,,2000.0,2000.0,2000.0,,,,,,,,,,,,,,,,,,,,,,Y,A,A,,,P3,1,"{'x': 572091.0394000001, 'y': 7036739.9012, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",True,False,False,False,False,0,0,0.2609,0.067,0.014,0.1807170583,0.0,0.0,0.0801544535,0.0,0.0,0.0,0.0590751704,0,0,0.0081675,0,0,0,0.0047522156,0,0,0.0093371666,0,0,0,Referansesituasjon,[0],[27.3562934 25.5450064 24.5888668 ... 34.6221122 31.1608986 29.5640522],[ 8.3288334  6.4835834  5.8281666 ... 14.30825   12.7554166 10.1236666],0,0,0,0,0,[35.6851268 32.0285898 30.4170334 ... 48.9303622 43.9163152 39.6877188]
5,6,,,,,,,,,,,,,,,,,,,,,,,,2000.0,2000.0,2000.0,,,,,,,,,,,,,,,,,,,,,,Y,A,A,,,P3,1,"{'x': 572114.9985999996, 'y': 7036752.3059, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",True,False,False,False,False,0,0,0.2609,0.067,0.014,0.1807170583,0.0,0.0,0.0801544535,0.0,0.0,0.0,0.0590751704,0,0,0.0081675,0,0,0,0.0047522156,0,0,0.0093371666,0,0,0,Referansesituasjon,[0],[27.3562934 25.5450064 24.5888668 ... 34.6221122 31.1608986 29.5640522],[ 8.3288334  6.4835834  5.8281666 ... 14.30825   12.7554166 10.1236666],0,0,0,0,0,[35.6851268 32.0285898 30.4170334 ... 48.9303622 43.9163152 39.6877188]
6,7,,,,,,,,,,,,,,,,,,,,,,,,2000.0,2000.0,2000.0,,,,,,,,,,,,,,,,,,,,,,Y,A,A,,,P3,1,"{'x': 572169.3224, 'y': 7036762.197700001, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",True,False,False,False,False,0,0,0.2609,0.067,0.014,0.1807170583,0.0,0.0,0.0801544535,0.0,0.0,0.0,0.0590751704,0,0,0.0081675,0,0,0,0.0047522156,0,0,0.0093371666,0,0,0,Referansesituasjon,[0],[27.3562934 25.5450064 24.5888668 ... 34.6221122 31.1608986 29.5640522],[ 8.3288334  6.4835834  5.8281666 ... 14.30825   12.7554166 10.1236666],0,0,0,0,0,[35.6851268 32.0285898 30.4170334 ... 48.9303622 43.9163152 39.6877188]
7,8,,,,,,,,,,,,,,,,,,,,,,,,2000.0,2000.0,2000.0,,,,,,,,,,,,,,,,,,,,,,Y,A,A,,,P3,1,"{'x': 572196.1512000002, 'y': 7036766.512800001, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",True,False,False,False,False,0,0,0.2609,0.067,0.014,0.1807170583,0.0,0.0,0.0801544535,0.0,0.0,0.0,0.0590751704,0,0,0.0081675,0,0,0,0.0047522156,0,0,0.0093371666,0,0,0,Referansesituasjon,[0],[27.3562934 25.5450064 24.5888668 ... 34.6221122 31.1608986 29.5640522],[ 8.3288334  6.4835834  5.8281666 ... 14.30825   12.7554166 10.1236666],0,0,0,0,0,[35.6851268 32.0285898 30.4170334 ... 48.9303622 43.9163152 39.6877188]
8,9,,,,,,,,,,,,,,,,,,,,,,,,2000.0,2000.0,2000.0,,,,,,,,,,,,,,,,,,,,,,Y,A,A,,,P3,1,"{'x': 572217.3804000001, 'y': 7036751.718800001, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",True,False,False,False,False,0,0,0.2609,0.067,0.014,0.1807170583,0.0,0.0,0.0801544535,0.0,0.0,0.0,0.0590751704,0,0,0.0081675,0,0,0,0.0047522156,0,0,0.0093371666,0,0,0,Referansesituasjon,[0],[27.3562934 25.5450064 24.5888668 ... 34.6221122 31.1608986 29.5640522],[ 8.3288334  6.4835834  5.8281666 ... 14.30825   12.7554166 10.1236666],0,0,0,0,0,[35.6851268 32.0285898 30.4170334 ... 48.9303622 43.9163152 39.6877188]
9,10,,,,,,,,,,,,,,,,,,,,,,,,2000.0,2000.0,2000.0,,,,,,,,,,,,,,,,,,,,,,Y,A,A,,,P3,1,"{'x': 572210.9636000004, 'y': 7036813.665199999, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",True,False,False,False,False,0,0,0.2609,0.067,0.014,0.1807170583,0.0,0.0,0.0801544535,0.0,0.0,0.0,0.0590751704,0,0,0.0081675,0,0,0,0.0047522156,0,0,0.0093371666,0,0,0,Referansesituasjon,[0],[27.3562934 25.5450064 24.5888668 ... 34.6221122 31.1608986 29.5640522],[ 8.3288334  6.4835834  5.8281666 ... 14.30825   12.7554166 10.1236666],0,0,0,0,0,[35.6851268 32.0285898 30.4170334 ... 48.9303622 43.9163152 39.6877188]
